epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,5766.54,1.25167,0.80482,1.23919,0.8612,0.68967,0.75807,0.48647,1.27034,0.7123,1.31802,0.0050005,0.0050005,0.0050005
103,5808.55,1.24573,0.80175,1.23407,0.86253,0.69031,0.75957,0.48718,1.26586,0.70951,1.31706,0.004951,0.004951,0.004951
104,5850.61,1.25412,0.81173,1.24175,0.85578,0.69444,0.75924,0.48759,1.26583,0.70645,1.31669,0.0049015,0.0049015,0.0049015
105,5892.2,1.24656,0.8017,1.23754,0.85885,0.69481,0.75917,0.48862,1.26417,0.7067,1.31554,0.004852,0.004852,0.004852
106,5933.72,1.23761,0.79598,1.23135,0.87324,0.68339,0.76049,0.48913,1.26198,0.70565,1.31292,0.0048025,0.0048025,0.0048025
107,5975.64,1.24033,0.79075,1.22782,0.87996,0.68806,0.76227,0.49017,1.25924,0.70489,1.31089,0.004753,0.004753,0.004753
108,6018.64,1.23922,0.7972,1.23038,0.87376,0.68947,0.76181,0.49121,1.25761,0.70341,1.31016,0.0047035,0.0047035,0.0047035
109,6061.62,1.22856,0.78363,1.22576,0.87382,0.68687,0.76215,0.49184,1.25706,0.70177,1.30854,0.004654,0.004654,0.004654
110,6102.96,1.2291,0.78321,1.2226,0.88535,0.67994,0.76175,0.49164,1.25506,0.70051,1.3079,0.0046045,0.0046045,0.0046045
111,6143.96,1.22188,0.77844,1.22702,0.87573,0.68761,0.76159,0.4921,1.25476,0.69907,1.30762,0.004555,0.004555,0.004555
112,6186.41,1.22426,0.77525,1.22218,0.8705,0.69263,0.76275,0.49195,1.25454,0.69731,1.30769,0.0045055,0.0045055,0.0045055
113,6229.93,1.21628,0.77569,1.21945,0.8777,0.68653,0.76247,0.49275,1.25451,0.69625,1.30775,0.004456,0.004456,0.004456
114,6271.38,1.21419,0.77316,1.22089,0.87905,0.68546,0.76247,0.49468,1.25228,0.6948,1.30705,0.0044065,0.0044065,0.0044065
115,6313.42,1.21076,0.76568,1.21862,0.88627,0.68376,0.76313,0.49421,1.25107,0.6927,1.30582,0.004357,0.004357,0.004357
116,6355.37,1.21166,0.77157,1.21594,0.88755,0.68733,0.76444,0.49402,1.24869,0.6917,1.30397,0.0043075,0.0043075,0.0043075
117,6399.66,1.20602,0.76059,1.211,0.88828,0.68374,0.76345,0.49485,1.24703,0.68925,1.30208,0.004258,0.004258,0.004258
118,6442.87,1.20911,0.77142,1.21769,0.88941,0.68842,0.76605,0.49645,1.24467,0.68772,1.30099,0.0042085,0.0042085,0.0042085
119,6484.27,1.1839,0.75377,1.20522,0.88944,0.69104,0.7673,0.49805,1.2435,0.68693,1.30061,0.004159,0.004159,0.004159
120,6526.19,1.20332,0.76638,1.20761,0.88699,0.68925,0.76676,0.49902,1.24356,0.68693,1.30053,0.0041095,0.0041095,0.0041095
121,6567.76,1.20457,0.75964,1.21105,0.89271,0.69036,0.76812,0.4993,1.24258,0.68488,1.29904,0.00406,0.00406,0.00406
122,6609.37,1.19647,0.76335,1.20346,0.89222,0.69162,0.76926,0.50002,1.24082,0.68438,1.29808,0.0040105,0.0040105,0.0040105
123,6651.42,1.19492,0.75699,1.1981,0.88511,0.69142,0.7679,0.49951,1.24041,0.68299,1.29783,0.003961,0.003961,0.003961
124,6693,1.19471,0.75689,1.20417,0.88782,0.69287,0.76874,0.50064,1.24033,0.68117,1.2984,0.0039115,0.0039115,0.0039115
125,6734.81,1.19942,0.76149,1.21196,0.88946,0.69303,0.76938,0.50173,1.2391,0.68011,1.29744,0.003862,0.003862,0.003862
126,6776.76,1.19442,0.76195,1.20425,0.89055,0.69107,0.76866,0.50235,1.23866,0.67908,1.29753,0.0038125,0.0038125,0.0038125
127,6817.99,1.18631,0.74943,1.19689,0.8799,0.69909,0.77005,0.50284,1.23694,0.67757,1.29653,0.003763,0.003763,0.003763
128,6859.62,1.18476,0.7448,1.19659,0.88088,0.69982,0.77007,0.5033,1.23533,0.67578,1.29584,0.0037135,0.0037135,0.0037135
129,6902.2,1.18014,0.75039,1.19374,0.88034,0.70134,0.77068,0.50389,1.23416,0.67415,1.29504,0.003664,0.003664,0.003664
130,6943.3,1.17304,0.73553,1.18963,0.88303,0.69964,0.77119,0.50385,1.23313,0.67322,1.29435,0.0036145,0.0036145,0.0036145
131,6984.39,1.16431,0.73468,1.18353,0.87741,0.70369,0.77094,0.50434,1.23206,0.67263,1.29364,0.003565,0.003565,0.003565
132,7026.04,1.17599,0.74452,1.18816,0.8755,0.70643,0.77126,0.50495,1.23106,0.67142,1.29311,0.0035155,0.0035155,0.0035155
133,7066.53,1.17455,0.7397,1.19309,0.8754,0.70554,0.77195,0.50519,1.23019,0.67059,1.29268,0.003466,0.003466,0.003466
134,7108.83,1.16612,0.73386,1.19051,0.8727,0.70691,0.77216,0.50549,1.22987,0.66941,1.2924,0.0034165,0.0034165,0.0034165
135,7150.61,1.17269,0.73034,1.18372,0.87005,0.70836,0.77233,0.50588,1.22965,0.66847,1.29211,0.003367,0.003367,0.003367
136,7191.34,1.16074,0.72962,1.18889,0.86948,0.70914,0.77231,0.50598,1.22961,0.66755,1.29196,0.0033175,0.0033175,0.0033175
137,7232.22,1.15135,0.72037,1.18025,0.87003,0.70764,0.77203,0.50649,1.22893,0.66606,1.29123,0.003268,0.003268,0.003268
138,7275.8,1.15866,0.72757,1.18131,0.86862,0.70914,0.77192,0.50658,1.22799,0.66522,1.29085,0.0032185,0.0032185,0.0032185
139,7319,1.1576,0.72578,1.183,0.87144,0.70858,0.77318,0.50698,1.22774,0.66431,1.29053,0.003169,0.003169,0.003169
140,7360.66,1.14565,0.7179,1.17594,0.86922,0.70914,0.77385,0.50764,1.22692,0.66356,1.29012,0.0031195,0.0031195,0.0031195
141,7402.68,1.15022,0.7132,1.18266,0.86856,0.70932,0.77381,0.50703,1.22622,0.66315,1.2897,0.00307,0.00307,0.00307
142,7444.02,1.14738,0.71497,1.17591,0.86678,0.71042,0.77409,0.508,1.22508,0.66298,1.2891,0.0030205,0.0030205,0.0030205
143,7486.36,1.14728,0.71347,1.17741,0.873,0.70889,0.77379,0.50781,1.22316,0.66148,1.28809,0.002971,0.002971,0.002971
144,7528.88,1.13665,0.70527,1.17382,0.87164,0.7092,0.77441,0.5084,1.22258,0.66103,1.28758,0.0029215,0.0029215,0.0029215
145,7570.1,1.14929,0.71831,1.17902,0.87329,0.70883,0.77518,0.50892,1.22193,0.66047,1.28728,0.002872,0.002872,0.002872
146,7611.99,1.12965,0.7024,1.16986,0.87487,0.70905,0.77538,0.50948,1.22125,0.65964,1.28668,0.0028225,0.0028225,0.0028225
147,7653.43,1.13543,0.70957,1.16695,0.87262,0.70969,0.77497,0.50947,1.22125,0.65937,1.28624,0.002773,0.002773,0.002773
148,7694.48,1.12881,0.70759,1.16459,0.87641,0.70806,0.77476,0.50957,1.22077,0.65885,1.28583,0.0027235,0.0027235,0.0027235
149,7736.33,1.12496,0.69454,1.16158,0.87672,0.70799,0.77538,0.51,1.2193,0.65859,1.28466,0.002674,0.002674,0.002674
150,7778.02,1.13024,0.70297,1.16672,0.87859,0.70686,0.77542,0.51011,1.21848,0.65772,1.28399,0.0026245,0.0026245,0.0026245
151,7819.34,1.11858,0.69482,1.16014,0.8804,0.70723,0.77636,0.51049,1.21765,0.65703,1.28346,0.002575,0.002575,0.002575
152,7861.95,1.12386,0.69579,1.15977,0.88025,0.70798,0.777,0.51083,1.21693,0.65639,1.28291,0.0025255,0.0025255,0.0025255
153,7902.93,1.12171,0.69555,1.16324,0.87767,0.70859,0.77645,0.51066,1.21627,0.65618,1.28213,0.002476,0.002476,0.002476
154,7944.86,1.10906,0.69346,1.15013,0.8792,0.70859,0.77637,0.51113,1.21538,0.65551,1.28179,0.0024265,0.0024265,0.0024265
155,7987.08,1.12399,0.69833,1.163,0.87792,0.71152,0.77718,0.51131,1.21458,0.65478,1.28107,0.002377,0.002377,0.002377
156,8028.3,1.1031,0.68173,1.14876,0.88158,0.70841,0.77653,0.51149,1.21367,0.65423,1.28034,0.0023275,0.0023275,0.0023275
157,8070.37,1.10813,0.68953,1.15802,0.88342,0.70908,0.77704,0.51161,1.21329,0.65345,1.27979,0.002278,0.002278,0.002278
